content,brand,model,score,sentiment_original,score_dict,sentiment_dict
działa dobrze,Apple,iPhone12‌Pro256GB(niebieski),70,P,5.0,P
krótki czas móc ocenić,Apple,iPhone12‌Pro256GB(niebieski),70,P,0.0,P
taką cenę słaba kamerka,Apple,iPhone12‌Pro256GB(niebieski),70,P,-1.0,N
głównym kryterium wyboru telefonu rozmiar rozczarowałem idealnie jakość wykonania spasowania idealna zastrzeżeniem telefon śliski etui nieużywalny końcu ocenię system ios osoby używającej dotychczas androida windowsa system ios ułomny krótko dwa tygodnie używam pewnym przekonam ios dzień dzisiejszy jedną gwiazdkę odejmuje system android byłby ideał ps zapomniałem wspomnieć baterii tą pojemność dobrze moim użytkowaniu niewiele ustępuje pixelowi 2xl dotychczas użytkowałem,Apple,iPhone12‌Pro256GB(niebieski),80,P,0.5932203389830508,P
dobry telefon robi fantastyczne zdjęcia nocy szybki,Apple,iPhone12‌Pro256GB(niebieski),80,P,1.8571428571428572,P
telefon telefon siebie kupił cenach znalazłbym dużo fajniejszego flagowca innej marki dużo lepszych parametrach najmniej 30 opłaty jabłuszko córka chwali najważniejsze,Apple,iPhone12‌Pro256GB(niebieski),80,P,0.5238095238095238,P
dobrze idealnie przejście androida brakuje opcji zamknięcia wszystkich appek tle przyciskiem,Apple,iPhone12‌Pro256GB(niebieski),80,P,0.9090909090909091,P
zamówiłam wtorek czwartek przesyłka jedyny minus zapakowanie pudełka telefonem kawałek kartonu,Apple,iPhone12‌Pro256GB(niebieski),80,P,-0.45454545454545453,N
wysokiej jakosci ekran szybkosc pracy pracuje jednej baterii moich potrzebach dwa dni,Apple,iPhone12‌Pro256GB(niebieski),80,P,0.3333333333333333,P
szybko ocenic skok iphone 8 mini 12 hest odczuwalny,Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,P
jedynymi minusami waga iphona czas pracy baterii,Apple,iPhone12‌Pro256GB(niebieski),80,P,-0.7142857142857143,N
wszytsko pieknie ładnie brak ładowarki kabel,Apple,iPhone12‌Pro256GB(niebieski),80,P,1.0,P
świetny telefon bateria trochę zawiodła,Apple,iPhone12‌Pro256GB(niebieski),80,P,1.8,P
super produkt jakiego sie spodziewałem pi marce,Apple,iPhone12‌Pro256GB(niebieski),80,P,1.1428571428571428,P
super jakość dobry soft minus bateria,Apple,iPhone12‌Pro256GB(niebieski),80,P,2.0,P
wysoka jakość wykonania dobre wymiary poreczne,Apple,iPhone12‌Pro256GB(niebieski),80,P,1.5,P
duza roznica wzgledem 11 pro,Apple,iPhone12‌Pro256GB(niebieski),80,P,0.0,P
brak różnicy między 11 a 12 praktycznie,Apple,iPhone12‌Pro256GB(niebieski),80,P,-0.14285714285714285,N
telefon telefon spoko,Apple,iPhone12‌Pro256GB(niebieski),80,P,1.6666666666666667,P
zadowoleni jesteśmy,Apple,iPhone12‌Pro256GB(niebieski),90,P,3.5,P
niezawodny,Apple,iPhone12‌Pro256GB(niebieski),90,P,8.0,P
telefon sprzętowo znakomicie kolor biały przyjemny taki offwhite a srebrna ramka łapie delikatną poświatę złotamiedzi złudzenie końcu iphone gabaryty ponownie pozwalające obługe jedną ręką przesiadce większego ekran potrzeba chwilę przyzwyczaić design wykonanie zawsze wysokim poziomie niewielki minus nieco słabą baterię,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.05,P
wygląd wykonanie fenomenalne poręczny obsługiwać jedną ręką jedyne czego brakuje pandemicznych czasach brak odblokowywania odcisk palca dlatego ocena 45 podejrzewam normalnych okolicznościach byłoby absolutnie problemem faceid działa szybko szybciej odcisk palca,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.06451612903225806,P
jestem zadowolony zakupu mam zanadrzu czego czepiać wygląd oceniam dobry samo system oceniam dobry używam telefonu 2 miesięcy jedyny minus brak ładowarki zestawie tą dziwną polityką naprawdę dobrze,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.32142857142857145,P
świetny telefon mały poręczny wygodny mój pierwszy iphone obawiałam gabarytach bateria wypadnie fatalnie jestem pozytywnie zaskoczona wytrzymuje stosownie ładuje szybko polecam kolor czerwony wygląda super,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.96,P
iphone 12 pro max wielu używam iphone począwszy iphone 4 wybór mój świadomy iphone 12 pro max świetne urządzenie zawodne szybki zawodny piękny używanie sama przyjemność zdecydowanym gorąco polecam,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.5172413793103449,P
kolor śliczny kolosalna różnica między dotychczas używanym samsungiem a iphonem poznałam wszystkich zalet śmiga błyskawica,Apple,iPhone12‌Pro256GB(niebieski),90,P,1.2,P
idealny śmiga świetnie świetne zdjęcia fajny design nawiązujący iphone 5 rewelacyjne naprawdę jedyny minus brak kostki ładowary,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.3529411764705883,P
wykonanie funkcjonalność łatwość obsługi typowe applea czas pracy baterii max 15 dnia,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.8333333333333334,P
niektóre rzeczy mocno ograniczone porównaniu androida myślę kwestia przyzwyczajenia mam nadzieje d,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,P
super ceramic shield lipa lepiej wytrzymuje uderzenia zarysowania kompletnie odporny,Apple,iPhone12‌Pro256GB(niebieski),90,P,1.0,P
telefon super pierwsze uruchomienie aktualizacja oprogramowania porażka strata 3 moim przypadku,Apple,iPhone12‌Pro256GB(niebieski),90,P,-0.45454545454545453,N
przesiadka androida czas pokażeużytkuje intensywnie wiec wyjdzie narazie pasuje,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,P
klasa sama siebie mogłaby jeszzce trochę dłużej trzymać bateria dlatego odejmuję pół gwiazdki,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.46153846153846156,P
ujęciu ogólnym produkt dobry spełni oczekiwania każdego potrzebuje telefonu małego,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.5,P
wczesnie ocene wyglada dobrze brak usb c pewnie pojawi sie 13,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.45454545454545453,P
genialny aparat aparaty robić zdjęcia makro mikro jestem zachwycona,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.2222222222222223,P
świetnie wykonany super zoptymalizowany system dobrze trzymająca bateria,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.75,P
super telefon ☺️ rozmiaru szybko przyzwyczaiłam,Apple,iPhone12‌Pro256GB(niebieski),90,P,1.3333333333333333,P
dobry porównywalny innymi modelami iphone,Apple,iPhone12‌Pro256GB(niebieski),90,P,1.0,P
telefon super córka zadowolona udany zakup,Apple,iPhone12‌Pro256GB(niebieski),90,P,3.5,P
super telefon bateria trzyma pięknie elegancki,Apple,iPhone12‌Pro256GB(niebieski),90,P,3.1666666666666665,P
zawsze dopracowany maxa dobry aparat,Apple,iPhone12‌Pro256GB(niebieski),90,P,1.0,P
najlepszy rynku niezawodnydoskonały pracy,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.0,P
polecam 100 najlepszy telefon rozmiarze,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.6,P
najwyższym poziomie łatwa obsługa,Apple,iPhone12‌Pro256GB(niebieski),90,P,1.25,P
iphone… świetna jakość wysoką cenę,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.6,P
mój pierwszy iphone zakochałam,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.25,P
świetny najlepszy iphone jaki posiadałem,Apple,iPhone12‌Pro256GB(niebieski),90,P,3.4,P
super telefon polecam fanów apple,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.6,P
córka zachwycona polecam,Apple,iPhone12‌Pro256GB(niebieski),90,P,5.0,P
krótko posiadam oceniać,Apple,iPhone12‌Pro256GB(niebieski),90,P,0.0,P
wysoka jakość szybkie działanie,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.25,P
zgodnie oczekiwaniamibdobrze,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.5,P
najlepszy telefon jaki miałem,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.0,P
rewelacyjny produkt polecam,Apple,iPhone12‌Pro256GB(niebieski),90,P,5.0,P
mam żadnych zastrzeżeń,Apple,iPhone12‌Pro256GB(niebieski),90,P,-1.0,N
wykonany iphone super,Apple,iPhone12‌Pro256GB(niebieski),90,P,2.6666666666666665,P
szybka wysylka produkty zamówiłem godzinie 16 popołudniu a rano miałem telefon miejscu polecam polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.7142857142857143,P
niewielki smartfon dobrze trzymający ręce zajmujący dużo miejsca kieszeni płynna praca łatwość przenoszeniu danych starszej wersji iphone uprzednio posiadałem siódemkę ładowanie indukcyjne takiego czegoś szukałem,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.48,P
super każdym względem,Apple,iPhone12‌Pro256GB(niebieski),100,P,2.6666666666666665,P
przeszedłem androida głównie względu rozmiar telefonu rozmiarach przypominających paletki ping ponga topowy wodoodporny priorytetem używam niecałych dwóch tygodni mogę powiedzieć złego słowa braku ladowarki oczywiście minus kupiłem dwu portową ładowarkę green cella jestem mega zadowolony polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.1111111111111111,P
trochę żałuję zakupu wielu stały klient marki apple najbardziej zadowolony jestem funkcjonalności aparatów dość wytrzymałej baterii a najbardziej zależało oczywiście rozdzielczość ekranu początku wydawał duży czasie użytkowania sam polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.5517241379310345,P
czasów samsunga s3 zawsze miałem andrioda zakończyłem huwawei p30pro moja pierwsza przesiadka iphone start iphone 12 wiem spisuje porównaniu wcześniejszymi iphonami 2 dniach stwierdzam telefon super bateria trzyma 1 pełen dzień ciągłej zabawy wiec samo 4600mah andriodzie podoba wygląd szybkość działania rewelacyjna wyświetlacz najwyższym poziomie zdjęcia robi płatności nfc face id super czasach zorro brakuje trochę odcisku palca zaczynam przyzwyczajać obslugi telefon łatwy obsłudze wydawało trudniej mogę polecić zatwardziałym androidowca należałem jestem zadowolony cena iphone 12 wysoka iphone 12 warty ps moja kobieta zamienić samsona s20 hehehe,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.5517241379310345,P
3300 spoko telefon wspaniałe głośniki całkiem porządku tryb nocny masa fajnych funkcji androidzie,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.8461538461538463,P
super produkt produkt jestem zachwycony mała a cieszy p,Apple,iPhone12‌Pro256GB(niebieski),100,P,2.4444444444444446,P
iphone rewelacja miałam 6s 8 plus x 11 obecną 12 pro pewnością zostanę dłużej,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.4285714285714286,P
robi wrażenie dopracowany każdym calu opakowania folie zabezpieczenia wyglada perfekcyjnie telefon mistrzostwo,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.5,P
nigdy telefonu apple zrozumie prostu najlepszy możliwy telefon świecie płynne działanie systemu doskonałe zdjęcia mnóstwo mikro ułatwień codziennym użytkowaniu rzeczy bierzesz telefon ręki a razu włącza odblokowuje faceid logujesz banku szukania czytnika linii papilarnych zbędnej zwłoki znowu faceid dotykasz dwa razy plecków telefonu robi zrzut ekranu wiele wiele typu smaczków skróty wbudowana aplikacja obróbki zdjęć prawie lightroom niesamowita niespotykana jakość nagrań video trybie dolby vision oglądnął tv oled lg c9 możliwości telefon prostu bajka funkcja ar skaner lidar zaskoczy oglądanie ludzkiego ciała każdej strony stojącego środku twojego pokoju rewelacja mierzenie dziesiątej centymetra pomocą aplikacji miarka najlepszy wyświetlacz jaki wbudowano telefon poczytajcie profesjonalne recenzje prostu sprzęt wart swojej ceny tyle wiecie procesor a14bionic szybszy waszych intel i7 komputerach,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.6068376068376068,P
kupując wiedziałam mały 54 ekran wyobrażałam ciut większy pierwsze wrażenie otwarciu pudełka eee zabawka dziecka odrazu wątpliwość taki pieniądz warto potem pierwsza zabawa wyszukiwanie wad pisali ekran działa idealnie ktoś zainteresowany czym pisze leży płasko działa komu włączać latarkę telefon leży aktualizacja mogę swieci blat ekran jakiś żółty hmm inny położy obok innego modelu normalnym użytkowaniu widać bateria ojej słaba potwór mocy da nią żyć chyba większość telefonów działa długo ladowaniu zalety genialne zdjęcia wiem chodzi tymi pikselami telefon niby 12 foty wychodzą nibo lepiej telefonu konkurencji 48 pikselami wygoda użytkowania telefonik leży idealnie ręku ręką boli palcu odciska trzymania uczucia wyśliźnie ręki ekran lany wyraźny telefon polecam raczej kobiecie względu rozmiar pewna dogada takim maluchem końca jestem przekonana ktoś posiada telefon ekranem wielkości okol 6 potrafił rozmawiać maleństwem przyzwyczajony innych norm ktoś przesiada modelu 678 myślę pokocha mini ogólnym podsumowaniu jestem zachwycona myślę mój ulubiony telefon ost zachwycona byłam 4,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.5761589403973509,P
dużo czytałem temat modelu zdecydowałem iphone 12 recenzji sporo przejrzałem a opinie czytałem da powiem wyboru jestem zadowolony system iphonie chodzi płynnie zdjęcia osobiście podobają tryb nocy działa super nakręcenie filmu telefonem pozwala uzyskać dobrą jakość moje potrzeby bateria bałem najbardziej podnosząc telefon ładowarki wtorek rano 8 czwartek 2300 22 polecam wybrałem czerwony kolor podoba żałuje zakupu pewnością wybrał model powtórnie,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.7540983606557377,P
everything was fast delivery goods not damaged packed well good price and quality super 👍🏻,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.5333333333333333,P
super przesiadka iphone 8 cudo skok drugą stronę planety sprwniejszy szybszy interfejs optymalne funkcje głęia kolorów jakoś odsłuchu dźwięku zarówno rozmowach podczas muzyki dużo lepsza dobry wybór uważam kolor niestety trafiony niebieski podoba taki nijaki bede musiała życ kupiłam oryginalny skórzany pokrowiec razu prezentuje sie trzyma ręku wiele lepiej pokrowca obawiałam sie wyśliźnie rąk zbije dość cienki śliski uwagi zastosowane materiały rozwiązania,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.6129032258064516,P
2 tygodniach używania jestem zadowolona mój pierwszy iphone super jakość a lekki poręczny aparat robi wspaniałe zdjęcia kolory żywe realistyczne dźwięk dobry głośnika jakość super ekran mniejszy miałam wcześniej 61 cala plus minus jedocześnie przyzwyczaiłam niego 2 dniach a końcu wypada rąk mogę pisać jedną ręka mieści cały kieszeni polecam osobom małymi dłońmi 😄 ładnym smartfonem 😃,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.0526315789473684,P
produkt wykonany myślą wymagającym użytkowniku największa zaleta wszystkim aparat wykonane zdjęcia różnią otaczającej rzeczywistości,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.07142857142857142,P
przeszedlem 12 pro max 6s jestem zadowolony super działa mega aparat długi czas baterii polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.6666666666666667,P
produkt premium dobrej jakości jestem zadowolony zmianie 6,Apple,iPhone12‌Pro256GB(niebieski),100,P,2.0,P
rewelacja nigdy zmienię iphone inny telefon,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.6666666666666667,P
dobra jakość wykonania oryginalny design,Apple,iPhone12‌Pro256GB(niebieski),100,P,2.8,P
3 mój iphone każdego jestem mega zadowolony 12 mini przesiadałem 8 martwiła wielkość ekranu bateria modelu ekranu duży 54 cala a bateria daje radę różnych opinii kompaktowość modelu zachwycająca iphone poręczny szybki responsywny dotyk aparat pięknego przodu jaki tylu tylnie 2 obiektywy robią robotę zdjęcia kosmicznej jakości a tryb nocny naprawdę daje radę polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.5925925925925926,P
dobry produkt stosunkowo wysoką cenę,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.0,P
rewelacyjny funkcjonalny ładny kolor,Apple,iPhone12‌Pro256GB(niebieski),100,P,5.0,P
super,Apple,iPhone12‌Pro256GB(niebieski),100,P,8.0,P
produkt pierwsza klasa szybka dostawa,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.2,P
rewelacja,Apple,iPhone12‌Pro256GB(niebieski),100,P,10.0,P
wykonanie dobre jakość materiałów dobra genialny czas pracy baterii dawno miałem smartfona pracującego 2 dni zdjęcia super a zwłaszcza tryb nocny genialna sprawa możliwością zrobienia fotek gwiazd jasne mieć odpowiednie miejsce obsługa taka każdego iphone chociaż jednoręcznie mało zrobi paletka pingponga tyle oglądanie filmów przyjemne twarz rozpoznaje maseczce nieco zaskoczyło,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.04,P
super trzyma dłoni,Apple,iPhone12‌Pro256GB(niebieski),100,P,2.6666666666666665,P
szybko tanio polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.6666666666666667,P
okej telefon kupiłem sklepie vobis najtaniej teoretycznie zamówiłem kwotę 2982zl kwota wyjściowa 2999zl kod newslettera 20zl 3zl przesyłka pobraniowa a kurierze kwota 2999 mam siły szarpać 17 zaznaczam taka sytuacja miała miejsce sam iphone dobrze zapakowany zaplombowany fabrycznie nigdy aktywowany samego telefonu dobrze wykonany szybki poręczny towar wyższej półki ciężko szczerze narzekać płacimy,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.20754716981132076,P
początkowo obawiałem ekran zbyt mały codziennego użytkowania pory korzystałem ekranów min 57 cala faktycznie pierwsze dni spędziłem adaptacji wzroku literki niektórych aplikacjach prawdę nieduże dniach telefonu używa świetnie bateria trzyma dwa dni normalnym użytkowaniu portale społecznościowe youtube telefon spodem zwykły iphone 12 szybki procesor dobry aparat polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.3191489361702128,P
отличное качество,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,P
every good service system,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,P
polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,5.0,P
świetny aparat piękny design długo trzymająca bateria narazie zarzutów,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.1111111111111112,P
najlepszy iphone jaki kiedykolwiek miałem idealny użytkowaniu robi bajeczne zdjęcia chodzi idealnie płynnie ekran bajka robię jedną ręką bateria trzyma mniej więcej tyle wszystkie iphone wcześniej używałem jeden dzień normalnego użytkowania bateria szału robi iphone przyzwyczaiłem polecam wszystkim czystym sercem mam miesiąc żadnej ryski ekran rysuje wytrzymały upadki pozdrawiam,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.2653061224489797,P
prezent chyba najnowszy iphone kiepski jakościowo super system inny wcale taki intuicyjny mówią icloud niektórych bomba inwazja prywatność wadą zdecydowanie cena ewidentnie płaci jabłko napisał kupicie kogoś stać czemu spróbować innego podejścia zawsze wrócić androida mam narzekam iphone zrobi rysik notatek kupię siebie,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.023255813953488372,P
mój pierwszy iphone wielu latach androidem żałuje jestem mega zadowolony pewnych różnic względem android przyzwyczaić kwestia 23 dni niebawem kupuje kolejnego iphona narzeczonej iphone 12 wydajny telefon bateria spokojnie wytrzyma dzień standard świetna jakość zdjęć nocnych cudowne głośniki muzyki słucham zdecydowanie słuchawkach jakość głośników super polecam spróbować przejścia iphona,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.9591836734693877,P
great product nice color and very good delivery,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,P
dobry używam produktów marki,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.25,P
szybka wysyłka polecam sklep😍,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.25,P
osobiście używam prawdopodobnie nigdy będę używał żadnego iphone racji dużo lepszych telefonów androidem osób związanych marką ceniących prostotę klasą wysoką jakość wykonania moja żona pewnością telefon sprawdzi 7 dzień użytkowania telefon sprawuje świetnie bateria trzyma problemu cały dzień rozładowując różnym stopniu zapewne wynika sposobu użytkowania danym dniu mistrzowska jakość wykonania trochę żenujący brak ładowarki 20w słuchawek,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.5178571428571429,P
spełnia nasze oczekiwania,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.6666666666666667,P
perfekcyjne wykonanie,Apple,iPhone12‌Pro256GB(niebieski),100,P,5.0,P
super polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,6.5,P
zadowolony,Apple,iPhone12‌Pro256GB(niebieski),100,P,7.0,P
polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,5.0,P
polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,5.0,P
super,Apple,iPhone12‌Pro256GB(niebieski),100,P,8.0,P
extra,Apple,iPhone12‌Pro256GB(niebieski),100,P,8.0,P
super,Apple,iPhone12‌Pro256GB(niebieski),100,P,8.0,P
super,Apple,iPhone12‌Pro256GB(niebieski),100,P,8.0,P
,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.0,P
mały lekki troche dziwi brak czytnika palców ekranem konkurencji faceid działa dobrze początku razi gigantyczny notch górze ekranu braku fizycznego przycisku home łatwo sie przyzwyczaić sam telefon system operacyjny działa wyśmienicie klasie trudno oczekiwać czegoś innego,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.4722222222222222,P
jakość wykonania rewelacyjna rozmiar waga odpowiednie aparat robi dobre zdjęcia ekran świetny dopasowuje oświetlenia dobrze wpływa oczy zmęczenie bateria ładowana 24 mogło trochę lepiej podsumowanie duży plus,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.4074074074074074,P
wygląda luksusowo droga biżuteria świetnie działa niesamowicie szybko wcześniej miałem iphone 7 różnica kosmiczna ekran świetny 60 hz pięknie wypełnia powierzchnię frontu obawiałem zbyt wielki tygodniu niechcialbym innej opcji 1010,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.3666666666666667,P
pierwszy iphone kupiony prezent córki zachwycona póki sprzęt działa zarzutu starannie wykonany oferuje rozwiązania pozostałe marki dostępne rynku moim zdaniem cena mogłaby niższa choćby względu fakt wytwarzany usa,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.7857142857142857,P
córka pierwszym iphonie chciała żadnych innych zadowolona wielki ostatnio smartfonami 12 mini okrojoną wersją 12 mniejszy tańszy płatnikowi ostatnie pasuje,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.35,P
kwestia przyzwyczajenia masz se 11pro kupuj koniecznie chcesz sprzet fizycznego przycisku najlepszy wybór cenie wielkości obsługa trochę inna starych iphoneach szczególnie ios15 potem jakieś pro super kolorowe,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.5925925925925926,P
zależało gabarytach telefonu końcu ukazał obsługi sensu opisywać każdy iphone największa zaleta poręczność obawiałem nieco baterii odniesieniu 8ki poprawa,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.2631578947368421,P
moje pierwsze doświadczenie zakupem fabrycznie odnowionego telefonu mogę powiedzieć moim zdaniem warto opakowania telefonu wygląda samo nowiutkim a kosztuje 1000 taniej posiada roczną gwarancje,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.3333333333333333,P
czym rozwodzić cena idzie parze niezmiennie wysoką jakością wykonania niezawodnością zmiana nowy model dlatego aplikacje przestały starać wsparcie szóstki a działała najnowszego zarzutu,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.0,P
mam dopiero sześciu dni mój pierwszy życiu iphone póki jestem zachwycony jakość wykonania sprawne działanie bateria póki trzyma dłużej sądziłem obejrzeniu recenzji polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.2173913043478262,P
zastanawiałeś sieę warto wydać więcej pieniędzy lepszy telefon podjęcie decyzji wydatku rzędu tysięcy szybko przestało uwierać codziennych zadaniach zaczął pomagać nowy apple iphone 12 pro max polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.7037037037037037,P
najwyższa jakość telefon piękny zarówno mężczyzny kobiety działanie wymaga komentarza najwyższa półka czas pracy baterii 1 intensywny dzień wytrzymuje problemu mniej intensywnie 2 dni polecam,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.84,P
dobry jednakże pierwszy ios latach androidzie wiele rzeczy brakuje systemie android prędkość działania plus bateria spoko aparacie spodziewałem więcej wideo lepsze zdjęcia,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.9545454545454546,P
rewelacyjny przesiadka iphone 6s pokazała apple zrobił kilka jakość zdjęć filmów porównywalna niejedną lustrzanką a efekt rozmytego tła świetny,Apple,iPhone12‌Pro256GB(niebieski),100,P,1.2105263157894737,P
wygląd funkcjonalność łatwość obsługi ktoś zna ios dobra całkowita zmiana nawyków czas pracy baterii 4 intensywnym użytkowaniu 1 dzień trudem starcza,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.7142857142857143,P
wiem gadżet fajny ekran robi wrażenie zdjęcia wiem robi apple oprogramowanie robi różnicę niby parametry opisach gorsze ostatecznie oni robią,Apple,iPhone12‌Pro256GB(niebieski),100,P,0.3,P
