"words";"score"
"mydelniczkowy";-7
"mylić";-4
"nabijać";-5
"nabrać";-4
"nachalny";-3
"naciągacz";-8
"naciągać";-8
"naciągnąć";-8
"nadmierny";-3
"nagrzać";-3
"nagrzewać";-3
"najgorzej";-8
"najgotrzej";-8
"najjsłabbszych";-8
"najsłabszych";-8
"namolny";-7
"napluć";-4
"narzekać";-5
"narzekam";-5
"natarczywie";-7
"nawalać";-7
"nawalić";-7
"nazekam";-5
"nażekam";-5
"negatyw";-5
"negatywnie";-5
"negatywny";-5
"nerw";-4
"nerwowo";-4
"nerwówa";-4
"nerwy";-4
"nędzny";-8
"nieaktualność";-4
"nieatrakcyjny";-5
"niechęć";-5
"niechętnie";-5
"nieciekawy";-5
"nieczytelny";-4
"niedociągnięcie";-3
"niedogodność";-3
"niedokładnie";-3
"niedomaganie";-3
"niedopracowań";-3
"niedopuszczalny";-8
"niedorozwinięty";-3
"niedoróbka";-3
"niedoskonałość";-3
"niedoskonały";-3
"niedostępny";-3
"niedosyt";-2
"nieergonomiczny";-3
"nieestetyczny";-3
"niefortunny";-3
"nieintuicyjny";-3
"niekomfortowy";-3
"niekompatybilność";-5
"niekompatybilny";-4
"niekompetentny";-3
"niekompletny";-4
"niekorzystny";-3
"niekorzyść";-3
"nielegalny";-3
"niemile";-3
"niemiło";-3
"niemiły";-3
"niemożliwy";-4
"niemożność";-4
"nienawidzić";-7
"nienawidzieć";-7
"nieodporny";-3
"nieodpowiedzialny";-3
"nieokreślony";-3
"nieoryginalny";-3
"nieosiągalny";-3
"nieostrość";-3
"nieostry";-3
"niepochlebny";-4
"niepokojący";-3
"niepokój";-3
"niepolecam";-5
"niepoprawnie";-3
"nieporadnie";-3
"nieporęczny";-3
"nieporozumienie";-3
"niepotrzbnych";-3
"niepotrzebnie";-3
"niepotrzebny";-3
"niepotrzebnych";-3
"niepożądany";-4
"niepraktyczny";-3
"nieprawidłowość";-4
"nieprecyzyjny";-3
"nieproporcjonalnie";-3
"nieprzejazność";-3
"nieprzydatny";-3
"nieprzyjazny";-3
"nieprzyjemnie";-3
"nieprzyjemność";-3
"nieprzyjemny";-3
"nierealny";-3
"nierownomierne";-3
"nierównomierne";-3
"nieskładny";-3
"nieskuteczny";-3
"niesmak";-3
"niespójny";-3
"niesprawny";-3
"niestabilny";-3
"niestety";-3
"nieststy";-3
"niesttey";-3
"nieszczęsny";-5
"nieszczęśliwie";-4
"nieścisłość";-3
"nietety";-3
"nietrwały";-3
"nietstey";-3
"nieudany";-4
"nieudolny";-6
"niewart";-3
"niewielki";-2
"niewygodny";-3
"niewykonalny";-3
"niewypał";-7
"niewystarczający";-3
"niezadowalający";-3
"niezadowolony";-5
"niezgodnie";-4
"niezgodność";-4
"nijak";-3
"niszczyć";-3
"nudny";-3
"nudy";-3
"obawa";-4
"obawiać";-4
"obciążający";-4
"obciążania";-4
"obciążenie";-4
"obciążyć";-4
"obiążania";-4
"obniżyć";-3
"obrazić";-3
"obrywać";-3
"obrzydliwie";-8
"ociężały";-3
"oczerniać";-3
"odbiegać";-3
"odpad";-3
"odradzać";-5
"odradzal";-5
"odradzał";-5
"odradzam";-5
"odradzić";-5
"odstraszać";-4
"odstraszyć";-4
"ograniczać";-4
"ograniczenie";-4
"ohydny";-8
"oklepany";-4
"okraść";-4
"okropna";-8
"okropnie";-8
"okropny";-8
"opłakany";-8
"opóźnienie";-3
"oszukiwać";-4
"oszust";-4
"oszustwo";-4
"padać";-4
"padanie";-4
"padl";-4
"padla";-4
"padł";-4
"padła";-4
"padnięty";-4
"paranoja";-3
"parodia";-6
"paskudny";-8
"paskudztwo";-8
"pech";-5
"pękać";-5
"pęknąć";-5
"pękniętą";-5
"pierdoly";-4
"pierdoła";-4
"pierdoły";-4
"pierdółce";-4
"piractwo";-4
"plama";-3
"podatny";-2
"podły";-8
"pogarda";-7
"pogarszać";-6
"pojebać";-9
"połamać";-5
"pomsta";-7
"pomylić";-4
"pomylil";-4
"pomylił";-4
"pomyłka";-4
"popękana";-5
"popierdółce";-3
"popsuć";-5
"popsuty";-5
"porazka";-8
"porażka";-8
"porysować";-5
"pożałować";-5
"pretensja";-4
"probelmy";-5
"probemu";-5
"problem";-5
"problematyczny";-5
"problemow";-5
"problemowy";-5
"problemów";-5
"problemu";-5
"problemy";-5
"prostacki";-4
"prymitywny";-4
"przecenić";-3
"przeciętna";-4
"przeciętny";-4
"przeciwny";-5
"przegapić";-3
"przegrywać";-4
"przegrzać";-3
"przegrzewać";-3
"przekłamanie";-4
"przekłamywać";-4
"przekombinować";-3
"przekreślać";-3
"przekręt";-5
"przepalić";-4
"przepaść";-4
"przeplacac";-3
"przepłacać";-3
"przerazajace";-8
"przerażać";-8
"przerażające";-8
"przerażająco";-8
"przesada";-3
"przesadnie";-3
"przestarzały";-3
"przestraszyć";-3
"przeszkadza";-5
"przeszkadzać";-5
"przeszkadzalo";-5
"przeszkadzało";-5
"przeszkazda";-5
"przeszkoda";-5
"przeżytek";-4
"przygnębiający";-4
"przykro";-4
"przykrość";-4
"przykry";-4
"przymulać";-4
"przypadłość";-3
"przytłaczać";-4
"przytłaczający";-4
"psuć";-5
"psuj";-5
"pułapka";-4
"rozbit";-4
"rozbita";-4
"rozbity";-4
"rozczarować";-6
"rozczarowanie";-6
"rozczarowujaco";-6
"rozczarowując";-6
"rozczarowuje";-6
"rozczarowywać";-6
"rozczarowywuje";-6
"rozładować";-4
"rozładowany";-4
"rozpierdolić";-6
"rozpierniczę";-6
"rozwalać";-6
"rozwalić";-6
"rysa";-5
"ryzykować";-4
"ryzykowny";-4
"samobójstwo";-8
"sceptycznie";-4
"sceptyczny";-4
"skandal";-7
"skandalicznie";-7
"skarga";-4
"skarżyć";-4
"skaza";-5
"skomplikowanie";-4
"skomplikowany";-4
"skrzypie";-3
"skrzypieć";-3
"skucha";-4
"skurwić";-6
"słaba";-4
"słabay";-4
"słabiutki";-4
"słabiutkie";-4
"słabiutko";-4
"słabizna";-4
"słabo";-4
"słabość";-4
"słaboutkie";-4
"słaby";-4
"smieciowy";-6
"spadać";-4
"spadek";-4
"spartolić";-7
"spowalniać";-4
"staromodny";-4
"starszym";-5
"strach";-3
"stracić";-4
"stracilbym";-4
"stracilem";-4
"straciłbym";-4
"straciłem";-4
"stracony";-4
"strasza";-6
"straszą";-6
"strasznie";-6
"straszny";-6
"strasznym";-6
"straszyć";-6
"straszym";-6
"strata";-5
"suchar";-4
"szajs";-7
"szit";-8
"szkoda";-5
"szkodzić";-5
"szmelc";-7
"szwankować";-6
"ściema";-6
"śmieciowy";-7
"śmierdzieć";-4
"tandecizny";-8
"tandeta";-8
"tandetnie";-8
"tandetność";-8
"tandetny";-8
"topornie";-4
"toporny";-4
"tracić";-4
"tragedia";-8
"tragedja";-8
"tragicznie";-8
"tragiczny";-8
"tragizować";-8
"trudno";-6
"trudność";-6
"trudny";-6
"trzeszczeć";-3
"ubogi";-4
"ubytek";-3
"uchybienie";-3
"uciążliwość";-6
"uciążliwy";-6
"uniemożliwiać";-5
"uniemożliwić";-5
"upierdliwy";-6
"upośledzony";-4
"usmiercić";-7
"usterk";-5
"usterka";-5
"uszkodzenie";-5
"uszkodzić";-5
"uszkodzony";-5
"uśmiercić";-5
"utrata";-5
"utrudniać";-4
"wad";-5
"wada";-5
"wadliwy";-5
"wątpliwość";-3
"wkurzać";-7
"wkurzający";-7
"wkurzyć";-7
"wybrakować";-4
"wymagająca";-4
"wymagający";-4
"wypocina";-6
"zaciąć";-3
"zadupie";-4
"zafajdać";-5
"załamać";-7
"załamany";-7
"zamatorszczenie";-4
"zamatorszczona";-4
"zamulać";-4
"zamulic";-4
"zamulić";-4
"zaniedbanie";-4
"zaniedbywać";-4
"zarysować";-3
"zarysowań";-3
"zarzut";-5
"zastrzerzeń";-3
"zastrzezen";-3
"zastrzezeń";-3
"zastrzeżenie";-3
"zastrzeżeń";-3
"zaszkodzić";-4
"zawodny";-5
"zbłądzić";-4
"zbrodnia";-7
"zbyteczny";-5
"zbytnio";-5
"zbywać";-5
"zdegenerować";-5
"zdyskwalifikować";-8
"zenada";-8
"zepsol";-5
"zepsuc";-5
"zepsucie";-5
"zepsuć";-5
"zepsul";-5
"zepsuł";-5
"zepsuty";-5
"zgłupieć";-4
"zgon";-8
"zirytować";-4
"zirytowany";-4
"zle";-5
"złe";-5
"zło";-5
"złodziejstwo";-6
"złom";-8
"złość";-6
"złośliwy";-6
"złudzenie";-4
"zły";-5
"zmęczony";-5
"zmora";-6
"zniechęca";-4
"zniechęcaaaaaa";-4
"zniechęcająca";-4
"zniszczenie";-4
"zniszczony";-4
"zniszczyć";-4
"znudzenie";-3
"znudzić";-3
"zonk";-6
"zszargać";-6
"zwiesić";-3
"zwieszać";-3
"źle";-5
"żałosny";-8
"żałośnie";-8
"żałować";-7
"żenada";-8
"żenująco";-8
"żenujący";-8
"absurdach";-8
"absurdalna";-8
"absurdalną";-8
"absurdalne";-8
"absurdalnego";-8
"absurdalnej";-8
"absurdalnemu";-8
"absurdalni";-8
"absurdalnych";-8
"absurdalnym";-8
"absurdalnymi";-8
"absurdami";-8
"absurdem";-8
"absurdom";-8
"absurdowi";-8
"absurdów";-8
"absurdu";-8
"absurdy";-8
"absurdzie";-8
"achillesowa";-3
"achillesową";-3
"achillesowe";-3
"achillesowego";-3
"achillesowej";-3
"achillesowemu";-3
"achillesowi";-3
"achillesowych";-3
"achillesowym";-3
"achillesowymi";-3
"atrap";-4
"atrapach";-4
"atrapami";-4
"atrapą";-4
"atrapę";-4
"atrapie";-4
"atrapo";-4
"atrapom";-4
"atrapy";-4
"awariach";-5
"awariami";-5
"awarią";-5
"awarie";-5
"awarię";-5
"awarii";-5
"awario";-5
"awariom";-5
"awaryj";-5
"awaryjna";-5
"awaryjną";-5
"awaryjne";-5
"awaryjnego";-5
"awaryjnej";-5
"awaryjnemu";-5
"awaryjni";-5
"awaryjnie";-5
"awaryjności";-5
"awaryjnościach";-5
"awaryjnościami";-5
"awaryjnością";-5
"awaryjnościom";-5
"awaryjnych";-5
"awaryjnym";-5
"awaryjnymi";-5
"badziewi";-7
"badziewia";-7
"badziewiach";-7
"badziewiami";-7
"badziewiasta";-7
"badziewiastą";-7
"badziewiaste";-7
"badziewiastego";-7
"badziewiastej";-7
"badziewiastemu";-7
"badziewiastych";-7
"badziewiastym";-7
"badziewiastymi";-7
"badziewiaści";-7
"badziewiem";-7
"badziewiom";-7
"badziewiowi";-7
"badziewiu";-7
"badziewna";-7
"badziewną";-7
"badziewne";-7
"badziewnego";-7
"badziewnej";-7
"badziewnemu";-7
"badziewni";-7
"badziewnie";-7
"badziewnych";-7
"badziewnym";-7
"badziewnymi";-7
"bałaganach";-3
"bałaganami";-3
"bałaganem";-3
"bałaganie";-3
"bałaganom";-3
"bałaganowi";-3
"bałaganów";-3
"bałaganu";-3
"bałagany";-3
"bezmyślna";-3
"bezmyślną";-3
"bezmyślne";-3
"bezmyślnego";-3
"bezmyślnej";-3
"bezmyślnemu";-3
"bezmyślni";-3
"bezmyślny";-3
"bezmyślnych";-3
"bezmyślnym";-3
"bezmyślnymi";-3
"beznadziei";-7
"beznadziejach";-7
"beznadziejami";-7
"beznadzieją";-7
"beznadzieje";-7
"beznadzieję";-7
"beznadziejna";-7
"beznadziejną";-7
"beznadziejne";-7
"beznadziejnego";-7
"beznadziejnej";-7
"beznadziejnemu";-7
"beznadziejni";-7
"beznadziejnych";-7
"beznadziejnym";-7
"beznadziejnymi";-7
"beznadziejo";-7
"beznadziejom";-7
"bezradna";-3
"bezradną";-3
"bezradne";-3
"bezradnego";-3
"bezradnej";-3
"bezradnemu";-3
"bezradni";-3
"bezradnie";-3
"bezradnych";-3
"bezradnym";-3
"bezradnymi";-3
"bezsensowna";-7
"bezsensowną";-7
"bezsensowne";-7
"bezsensownego";-7
"bezsensownej";-7
"bezsensownemu";-7
"bezsensowni";-7
"bezsensownych";-7
"bezsensownym";-7
"bezsensownymi";-7
"bezużyteczna";-8
"bezużyteczną";-8
"bezużyteczne";-8
"bezużytecznego";-8
"bezużytecznej";-8
"bezużytecznemu";-8
"bezużyteczni";-8
"bezużytecznie";-8
"bezużytecznych";-8
"bezużytecznym";-8
"bezużytecznymi";-8
"bied";-3
"biedach";-3
"biedaka";-3
"biedakach";-3
"biedakami";-3
"biedaki";-3
"biedakiem";-3
"biedakom";-3
"biedakowi";-3
"biedaków";-3
"biedaku";-3
"biedami";-3
"biedą";-3
"biedę";-3
"biedne";-3
"biednego";-3
"biednemu";-3
"biedni";-3
"biednych";-3
"biednym";-3
"biednymi";-3
"biedo";-3
"biedom";-3
"biedy";-3
"biedzie";-3
"błędach";-5
"błędami";-5
"błędem";-5
"błędna";-5
"błędną";-5
"błędne";-5
"błędnego";-5
"błędnej";-5
"błędnemu";-5
"błędni";-5
"błędnych";-5
"błędnym";-5
"błędnymi";-5
"błędom";-5
"błędowi";-5
"błędu";-5
"błędzie";-5
"bolał";-5
"bolała";-5
"bolałaby";-5
"bolałabym";-5
"bolałabyś";-5
"bolałam";-5
"bolałaś";-5
"bolałby";-5
"bolałbym";-5
"bolałbyś";-5
"bolałem";-5
"bolałeś";-5
"bolało";-5
"bolałoby";-5
"bolały";-5
"bolałyby";-5
"bolałybyście";-5
"bolałybyśmy";-5
"bolałyście";-5
"bolałyśmy";-5
"bolami";-5
"bolano";-5
"bolączce";-5
"bolączek";-5
"bolączkach";-5
"bolączkami";-5
"bolączką";-5
"bolączkę";-5
"bolączki";-5
"bolączko";-5
"bolączkom";-5
"bole";-5
"bolej";-5
"boleją";-5
"bolejąc";-5
"bolejąca";-5
"bolejącą";-5
"bolejące";-5
"bolejącego";-5
"bolejącej";-5
"bolejącemu";-5
"bolejący";-5
"bolejących";-5
"bolejącym";-5
"bolejącymi";-5
"bolejcie";-5
"bolejcież";-5
"boleje";-5
"bolejecie";-5
"bolejemy";-5
"bolejesz";-5
"boleję";-5
"bolejmy";-5
"bolejmyż";-5
"bolejże";-5
"boleli";-5
"boleliby";-5
"bolelibyście";-5
"bolelibyśmy";-5
"boleliście";-5
"boleliśmy";-5
"bolem";-5
"bolenia";-5
"boleniach";-5
"boleniami";-5
"bolenie";-5
"boleniem";-5
"boleniom";-5
"boleniu";-5
"boleń";-5
"bolesna";-5
"bolesną";-5
"bolesne";-5
"bolesnego";-5
"bolesnej";-5
"bolesnemu";-5
"bolesnych";-5
"bolesnym";-5
"bolesnymi";-5
"boleściach";-5
"boleściami";-5
"boleścią";-5
"boleściom";-5
"boleść";-5
"boleśni";-5
"boleśnie";-5
"bolom";-5
"bolowi";-5
"bolów";-5
"bolu";-5
"boryka";-5
"borykacie";-5
"borykaj";-5
"borykają";-5
"borykając";-5
"borykająca";-5
"borykającą";-5
"borykające";-5
"borykającego";-5
"borykającej";-5
"borykającemu";-5
"borykający";-5
"borykających";-5
"borykającym";-5
"borykającymi";-5
"borykajcie";-5
"borykajcież";-5
"borykajmy";-5
"borykajmyż";-5
"borykajże";-5
"borykali";-5
"borykaliby";-5
"borykalibyście";-5
"borykalibyśmy";-5
"borykaliście";-5
"borykaliśmy";-5
"borykał";-5
"borykała";-5
"borykałaby";-5
"borykałabym";-5
"borykałabyś";-5
"borykałam";-5
"borykałaś";-5
"borykałby";-5
"borykałbym";-5
"borykałbyś";-5
"borykałem";-5
"borykałeś";-5
"borykało";-5
"borykałoby";-5
"borykały";-5
"borykałyby";-5
"borykałybyście";-5
"borykałybyśmy";-5
"borykałyście";-5
"borykałyśmy";-5
"borykam";-5
"borykamy";-5
"borykania";-5
"borykaniach";-5
"borykaniami";-5
"borykanie";-5
"borykaniem";-5
"borykaniom";-5
"borykaniu";-5
"borykano";-5
"borykań";-5
"borykasz";-5
"bólach";-5
"bólami";-5
"bóle";-5
"bólem";-5
"bóli";-5
"bólom";-5
"bólowi";-5
"bólów";-5
"bólu";-5
"braka";-5
"brakach";-5
"brakami";-5
"braki";-5
"brakiem";-5
"brakło";-5
"brakłoby";-5
"braknąć";-5
"braknie";-5
"braknięcia";-5
"braknięciach";-5
"braknięciami";-5
"braknięcie";-5
"braknięciem";-5
"braknięciom";-5
"braknięciu";-5
"braknięć";-5
"brakom";-5
"brakowało";-5
"brakowałoby";-5
"brakowi";-5
"braków";-5
"braku";-5
"brakuje";-5
"brudach";-4
"brudami";-4
"brudem";-4
"brudna";-4
"brudną";-4
"brudne";-4
"brudnego";-4
"brudnej";-4
"brudnemu";-4
"brudni";-4
"brudno";-4
"brudnych";-4
"brudnym";-4
"brudnymi";-4
"brudom";-4
"brudowi";-4
"brudów";-4
"brudu";-4
"brudy";-4
"brudzą";-4
"brudząc";-4
"brudząca";-4
"brudzącą";-4
"brudzące";-4
"brudzącego";-4
"brudzącej";-4
"brudzącemu";-4
"brudzący";-4
"brudzących";-4
"brudzącym";-4
"brudzącymi";-4
"brudzeni";-4
"brudzenia";-4
"brudzeniach";-4
"brudzeniami";-4
"brudzenie";-4
"brudzeniem";-4
"brudzeniom";-4
"brudzeniu";-4
"brudzeń";-4
"brudzę";-4
"brudzi";-4
"brudzicie";-4
"brudzie";-4
"brudzili";-4
"brudziliby";-4
"brudzilibyście";-4
"brudzilibyśmy";-4
"brudziliście";-4
"brudziliśmy";-4
"brudził";-4
"brudziła";-4
"brudziłaby";-4
"brudziłabym";-4
"brudziłabyś";-4
"brudziłam";-4
"brudziłaś";-4
"brudziłby";-4
"brudziłbym";-4
"brudziłbyś";-4
"brudziłem";-4
"brudziłeś";-4
"brudziło";-4
"brudziłoby";-4
"brudziły";-4
"brudziłyby";-4
"brudziłybyście";-4
"brudziłybyśmy";-4
"brudziłyście";-4
"brudziłyśmy";-4
"brudzimy";-4
"brudzisz";-4
"brudzona";-4
"brudzoną";-4
"brudzone";-4
"brudzonego";-4
"brudzonej";-4
"brudzonemu";-4
"brudzono";-4
"brudzony";-4
"brudzonych";-4
"brudzonym";-4
"brudzonymi";-4
"brudź";-4
"brudźcie";-4
"brudźcież";-4
"brudźmy";-4
"brudźmyż";-4
"brudźże";-4
"brutalna";-6
"brutalną";-6
"brutalne";-6
"brutalnego";-6
"brutalnej";-6
"brutalnemu";-6
"brutalni";-6
"brutalnie";-6
"brutalnych";-6
"brutalnym";-6
"brutalnymi";-6
"brzydcy";-5
"brzydka";-5
"brzydką";-5
"brzydkich";-5
"brzydkie";-5
"brzydkiego";-5
"brzydkiej";-5
"brzydkiemu";-5
"brzydkim";-5
"brzydkimi";-5
"bubla";-6
"bublach";-6
"bublami";-6
"buble";-6
"bublem";-6
"bubli";-6
"bublom";-6
"bublowi";-6
"bublu";-6
"buca";-3
"bucach";-3
"bucami";-3
"buce";-3
"bucem";-3
"bucom";-3
"bucowi";-3
"buców";-3
"bucu";-3
"bucy";-3
"bucz";-3
"buczał";-3
"buczała";-3
"buczałaby";-3
"buczałabym";-3
"buczałabyś";-3
"buczałam";-3
"buczałaś";-3
"buczałby";-3
"buczałbym";-3
"buczałbyś";-3
"buczałem";-3
"buczałeś";-3
"buczało";-3
"buczałoby";-3
"buczały";-3
"buczałyby";-3
"buczałybyście";-3
"buczałybyśmy";-3
"buczałyście";-3
"buczałyśmy";-3
"buczano";-3
"buczą";-3
"bucząc";-3
"bucząca";-3
"buczącą";-3
"buczące";-3
"buczącego";-3
"buczącej";-3
"buczącemu";-3
"buczący";-3
"buczących";-3
"buczącym";-3
"buczącymi";-3
"buczcie";-3
"buczcież";-3
"buczeli";-3
"buczeliby";-3
"buczelibyście";-3
"buczelibyśmy";-3
"buczeliście";-3
"buczeliśmy";-3
"buczenia";-3
"buczeniach";-3
"buczeniami";-3
"buczenie";-3
"buczeniem";-3
"buczeniom";-3
"buczeniu";-3
"buczeń";-3
"buczę";-3
"buczmy";-3
"buczmyż";-3
"buczy";-3
"buczycie";-3
"buczymy";-3
"buczysz";-3
"buczże";-3
"bugach";-5
"bugami";-5
"bugi";-5
"bugiem";-5
"bugom";-5
"bugowi";-5
"bugów";-5
"bugu";-5
"bujd";-6
"bujdach";-6
"bujdami";-6
"bujdą";-6
"bujdę";-6
"bujdo";-6
"bujdom";-6
"bujdy";-6
"bujdzie";-6
"bzdur";-6
"bzdurach";-6
"bzdurami";-6
"bzdurą";-6
"bzdurę";-6
"bzduro";-6
"bzdurom";-6
"bzdury";-6
"bzdurze";-6
"chama";-4
"chamach";-4
"chamami";-4
"chamem";-4
"chamie";-4
"chamom";-4
"chamowi";-4
"chamów";-4
"chamy";-4
"chaosach";-4
"chaosami";-4
"chaosem";-4
"chaosie";-4
"chaosom";-4
"chaosowi";-4
"chaosów";-4
"chaosu";-4
"chaosy";-4
"chłamach";-7
"chłamami";-7
"chłamem";-7
"chłamie";-7
"chłamom";-7
"chłamowi";-7
"chłamów";-7
"chłamu";-7
"chłamy";-7
"cierp";-3
"cierpcie";-3
"cierpcież";-3
"cierpi";-3
"cierpiał";-3
"cierpiała";-3
"cierpiałaby";-3
"cierpiałabym";-3
"cierpiałabyś";-3
"cierpiałam";-3
"cierpiałaś";-3
"cierpiałby";-3
"cierpiałbym";-3
"cierpiałbyś";-3
"cierpiałem";-3
"cierpiałeś";-3
"cierpiało";-3
"cierpiałoby";-3
"cierpiały";-3
"cierpiałyby";-3
"cierpiałybyście";-3
"cierpiałybyśmy";-3
"cierpiałyście";-3
"cierpiałyśmy";-3
"cierpiana";-3
"cierpianą";-3
"cierpiane";-3
"cierpianego";-3
"cierpianej";-3
"cierpianemu";-3
"cierpiani";-3
"cierpiano";-3
"cierpiany";-3
"cierpianych";-3
"cierpianym";-3
"cierpianymi";-3
"cierpią";-3
"cierpiąc";-3
"cierpiąca";-3
"cierpiącą";-3
"cierpiące";-3
"cierpiącego";-3
"cierpiącej";-3
"cierpiącemu";-3
"cierpiący";-3
"cierpiących";-3
"cierpiącym";-3
"cierpiącymi";-3
"cierpicie";-3
"cierpieli";-3
"cierpieliby";-3
"cierpielibyście";-3
"cierpielibyśmy";-3
"cierpieliście";-3
"cierpieliśmy";-3
"cierpienia";-3
"cierpieniach";-3
"cierpieniami";-3
"cierpienie";-3
"cierpieniem";-3
"cierpieniom";-3
"cierpieniu";-3
"cierpień";-3
"cierpię";-3
"cierpimy";-3
"cierpisz";-3
"cierpmy";-3
"cierpmyż";-3
"cierpże";-3
"ciężarach";-3
"ciężarami";-3
"ciężarem";-3
"ciężarom";-3
"ciężarowi";-3
"ciężarów";-3
"ciężaru";-3
"ciężary";-3
"ciężarze";-3
"ciężcy";-3
"ciężka";-3
"ciężkawa";-3
"ciężkawą";-3
"ciężkawe";-3
"ciężkawego";-3
"ciężkawej";-3
"ciężkawemu";-3
"ciężkawi";-3
"ciężkawo";-3
"ciężkawych";-3
"ciężkawym";-3
"ciężkawymi";-3
"ciężką";-3
"ciężkie";-3
"ciężkiego";-3
"ciężkiej";-3
"ciężkiemu";-3
"ciężkim";-3
"ciężkimi";-3
"cudowali";-4
"cudowaliby";-4
"cudowalibyście";-4
"cudowalibyśmy";-4
"cudowaliście";-4
"cudowaliśmy";-4
"cudował";-4
"cudowała";-4
"cudowałaby";-4
"cudowałabym";-4
"cudowałabyś";-4
"cudowałam";-4
"cudowałaś";-4
"cudowałby";-4
"cudowałbym";-4
"cudowałbyś";-4
"cudowałem";-4
"cudowałeś";-4
"cudowało";-4
"cudowałoby";-4
"cudowały";-4
"cudowałyby";-4
"cudowałybyście";-4
"cudowałybyśmy";-4
"cudowałyście";-4
"cudowałyśmy";-4
"cudowania";-4
"cudowaniach";-4
"cudowaniami";-4
"cudowanie";-4
"cudowaniem";-4
"cudowaniom";-4
"cudowaniu";-4
"cudowano";-4
"cudowań";-4
"cuduj";-4
"cudują";-4
"cudując";-4
"cudująca";-4
"cudującą";-4
"cudujące";-4
"cudującego";-4
"cudującej";-4
"cudującemu";-4
"cudujący";-4
"cudujących";-4
"cudującym";-4
"cudującymi";-4
"cudujcie";-4
"cudujcież";-4
"cuduje";-4
"cudujecie";-4
"cudujemy";-4
"cudujesz";-4
"cuduję";-4
"cudujmy";-4
"cudujmyż";-4
"cudujże";-4
"cwaniacy";-4
"cwaniaka";-4
"cwaniakach";-4
"cwaniakami";-4
"cwaniaki";-4
"cwaniakiem";-4
"cwaniakom";-4
"cwaniakowi";-4
"cwaniaków";-4
"cwaniaku";-4
"debila";-5
"debilach";-5
"debilami";-5
"debile";-5
"debilem";-5
"debili";-5
"debilom";-5
"debilowi";-5
"debilów";-5
