content,brand,model,score,sentiment_original,neg,neu,pos,compound,sentiment_vader
"I’m very satisfied with this iPhone 12 Pro. The performance is fast and smooth, the camera quality is amazing, and the 512GB storage is more than enough. The design looks premium and the phone works perfectly for daily use. Battery life is good and overall it feels like a high-quality product. I definitely recommend it.",Apple,iPhone12Pro,100,P,0.0,0.689,0.311,0.967,P
"This is a excellent phone, I bought it one year ago and it came with 82% the battery health without any scratches, now it has 79% battery health but it’s okay I’m about to change it the battery, it’s really worth it.",Apple,iPhone12Pro,100,P,0.0,0.839,0.161,0.7572,P
"This is my third purchase of a renewed iPhone from the Amazon Renewed Store. They are such a great value compared to a new phone. My latest purchase looked brand new, and had 96% of its original battery capacity, suggesting that the battery had been replaced in the renewal process since iPhone 12 Pro production stopped 4 years ago. Included in the box were a charging cord (USB C to Fire) and a SIM card tray tool. It took less than 30 minutes to mirror the data and apps from my older iPhone 12 Pro to the new one via WiFi.I kept my previously-purchased iPhone 12 Pro to use as a mobile hotspot (I live in a rural area without broadband). It is still working fine except that the side button no longer functions after 2 years of daily hard use in my *very* dusty environment (no protective case). There are easy workarounds for the lack of side button (power off with Siri or in Settings; power on by plugging into charger; update or install apps with a change in Settings), but I retired my iPhone 8 hotspot (still working flawlessly  after being purchased from the Amazon Renewed Store 6 years ago) because it no longer is supported by the current iOS, making it incompatible with some updated apps that I use heavily (e.g., Substack).Listen to the Andrew Yang podcast ""The Hidden Cost Of Your 'Free' Phone"" to get an idea of how much money you save by buying a refurb.",Apple,iPhone12Pro,100,P,0.038,0.866,0.096,0.9377,P
"happy i purchased this when i did. the phone came pretty quickly , overnight actually! looked good right out the box, turned on and functions pretty well , no complaints. my only concern was the battery percentage was at 80%, which to be fair was indicated on the site. but it started deteriorating pretty quickly in terms of screen on time and needing to recharge quite often. anyway eventually i ended up buying a new battery from an apple store and still have the phone until now. no complaints otherwise, it does what its supposed to do. now that i've bought a new battery guess i'll have to keep it for atleast another year just for the purchase to make sense. thats just me though.",Apple,iPhone12Pro,100,P,0.0,0.848,0.152,0.9502,P
"I have always returned to Amazon to purchase renewed apple iPhones and Mac Laptops and Desktops. I have never been disappointed in the quality of the Amazon Renewed Apple products. This Apple iPhone 12 Pro 128 GB Pacific Blue-Fully Unlocked is just like new. It came with a new charger, and the battery arrived with 80% fully charge functionality. This phone is smaller than my previous iPhone 8 Plus, and I should have chosen the iPhone 12 Pro Max, but This iPhone 12 Pro does everything I need and I can save and pinch a few pennies and move up to another phone a few years down the road. I still have a 2012 Mac 27"" Desktop and she runs like a work horse and does everything I need her to do.",Apple,iPhone12Pro,100,P,0.0,0.901,0.099,0.8951,P
"phone was in excellent condition, looked just like new.  So far functions with no issues",Apple,iPhone12Pro,100,P,0.108,0.588,0.304,0.6124,P
"I’m very satisfied with this iPhone 12 Pro. The performance is fast and smooth, the camera quality is amazing, and the 512GB storage is more than enough. The design looks premium and the phone works perfectly for daily use. Battery life is good and overall it feels like a high-quality product. I definitely recommend it.",Apple,iPhone12Pro,100,P,0.0,0.689,0.311,0.967,P
"This is a excellent phone, I bought it one year ago and it came with 82% the battery health without any scratches, now it has 79% battery health but it’s okay I’m about to change it the battery, it’s really worth it.",Apple,iPhone12Pro,100,P,0.0,0.839,0.161,0.7572,P
"This is my third purchase of a renewed iPhone from the Amazon Renewed Store. They are such a great value compared to a new phone. My latest purchase looked brand new, and had 96% of its original battery capacity, suggesting that the battery had been replaced in the renewal process since iPhone 12 Pro production stopped 4 years ago. Included in the box were a charging cord (USB C to Fire) and a SIM card tray tool. It took less than 30 minutes to mirror the data and apps from my older iPhone 12 Pro to the new one via WiFi.I kept my previously-purchased iPhone 12 Pro to use as a mobile hotspot (I live in a rural area without broadband). It is still working fine except that the side button no longer functions after 2 years of daily hard use in my *very* dusty environment (no protective case). There are easy workarounds for the lack of side button (power off with Siri or in Settings; power on by plugging into charger; update or install apps with a change in Settings), but I retired my iPhone 8 hotspot (still working flawlessly  after being purchased from the Amazon Renewed Store 6 years ago) because it no longer is supported by the current iOS, making it incompatible with some updated apps that I use heavily (e.g., Substack).Listen to the Andrew Yang podcast ""The Hidden Cost Of Your 'Free' Phone"" to get an idea of how much money you save by buying a refurb.",Apple,iPhone12Pro,100,P,0.038,0.866,0.096,0.9377,P
"happy i purchased this when i did. the phone came pretty quickly , overnight actually! looked good right out the box, turned on and functions pretty well , no complaints. my only concern was the battery percentage was at 80%, which to be fair was indicated on the site. but it started deteriorating pretty quickly in terms of screen on time and needing to recharge quite often. anyway eventually i ended up buying a new battery from an apple store and still have the phone until now. no complaints otherwise, it does what its supposed to do. now that i've bought a new battery guess i'll have to keep it for atleast another year just for the purchase to make sense. thats just me though.",Apple,iPhone12Pro,100,P,0.0,0.848,0.152,0.9502,P
